"4", "1", "2025-02-03", "community health program", "User1", "The community health program provided by the NGO has significantly improved our access to medical care."
"4", "2", "2025-02-03", "educational workshops", "User2", "I appreciate the educational workshops organized by the NGO; they have enhanced my skills and knowledge."
"4", "3", "2025-02-03", "environmental conservation", "User3", "The environmental conservation efforts led by the NGO have positively impacted our local ecosystem."
"4", "4", "2025-02-03", "disaster relief", "User4", "The NGO's support during the disaster relief operation was timely and effective, providing much-needed assistance."
"4", "5", "2025-02-03", "vocational training", "User5", "I am grateful for the vocational training programs offered by the NGO, which have opened up new employment opportunities for me."
"0", "6", "2025-02-03", "environmental conservation", "User6", "The environmental conservation efforts seemed ineffective and lacked community involvement."
"0", "7", "2025-02-03", "disaster relief", "User7", "The disaster relief operation by the NGO was delayed, causing unnecessary hardship."
"0", "8", "2025-02-03", "vocational training", "User8", "The vocational training programs offered by the NGO were not relevant to current job market demands."
"0", "9", "2025-02-03", "community health program", "User9", "The community health program lacked sufficient resources, leading to inadequate medical care."
"0", "10", "2025-02-03", "educational workshops", "User10", "The educational workshops were poorly organized and did not meet my expectations."
"4", "11", "2025-02-03", "community health program", "User11", "The community health program provided by the NGO has significantly improved our access to medical care."
"4", "12", "2025-02-03", "educational workshops", "User12", "I appreciate the educational workshops organized by the NGO; they have enhanced my skills and knowledge."
"4", "13", "2025-02-03", "environmental conservation", "User13", "The environmental conservation efforts led by the NGO have positively impacted our local ecosystem."
"4", "14", "2025-02-03", "disaster relief", "User14", "The NGO's support during the disaster relief operation was timely and effective, providing much-needed assistance."
"4", "15", "2025-02-03", "vocational training", "User15", "I am grateful for the vocational training programs offered by the NGO, which have opened up new employment opportunities for me."
"0", "16", "2025-02-03", "environmental conservation", "User16", "The environmental conservation efforts seemed ineffective and lacked community involvement."
"0", "17", "2025-02-03", "disaster relief", "User17", "The disaster relief operation by the NGO was delayed, causing unnecessary hardship."
"0", "18", "2025-02-03", "vocational training", "User18", "The vocational training programs offered by the NGO were not relevant to current job market demands."
"0", "19", "2025-02-03", "community health program", "User19", "The community health program lacked sufficient resources, leading to inadequate medical care."
"0", "20", "2025-02-03", "educational workshops", "User20", "The educational workshops were poorly organized and did not meet my expectations."
"4", "21", "2025-02-03", "community health program", "User21", "The community health program provided by the NGO has significantly improved our access to medical care."
"4", "22", "2025-02-03", "educational workshops", "User22", "I appreciate the educational workshops organized by the NGO; they have enhanced my skills and knowledge."
"4", "23", "2025-02-03", "environmental conservation", "User23", "The environmental conservation efforts led by the NGO have positively impacted our local ecosystem."
